id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,last_page,ip_address,start_time,correct,chosen_card,report3,observed,belief1,belief2,belief3,belief_observed,payoff,gender,ethnicity,race,age,education,state,income,q1,q2,q3,correct_belief,realdata
11,VCTM2,xh1r4gi4rum43riq,P2,4204977413,10,10,22,1,48,12,205.142.197.121,2018-08-07 19:22:43.867310+00:00,Passed,,,Observed,,,,,22,Male,Non hispanic,White,32,College diploma,35,"$80,000 - $99,999",The goal of this study would be to try and maximize your earnings.,2,"Clearer instructions, but they weren't too hard to follow.",0,1
12,VCTM2,ozfs8b90rum43riq,P2,4244264708,1,1,20,1,1,12,74.131.232.16,2018-08-07 14:20:05.927814+00:00,Passed,,,Observed,,,,,20,Female,Non hispanic,White,27,High school or equivalent,15,"$20,000 - $29,999",Try to be fair and make as much money as possible.,3,"I thought it was fine, although I'm a bit sad that the number drawn was 1, so I had to make the decision of reporting high.",0,1
13,VCTM2,l6pxwjo8rum43riq,P2,4494817981,10,10,30,1,49,12,131.94.186.24,2018-08-07 19:23:30.554438+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,Hispanic/Latino/Latina,26,College diploma,10,"< $10,000",It would be to maximize the most amount of money for everybody around.,2,I have no suggestions.,0,1
14,VCTM2,ezqeyfmorum43riq,P2,4704196699,7,7,1,1,68,12,110.54.244.33,2018-08-08 01:07:34.611481+00:00,Passed,,,Observed,,,,,1,Male,Non hispanic,Black/African American,34,College diploma,30,"$70,000 - $79,999","Player 1 picks the number. Relays to player 2. Player 2 can believe and send to player 3 or reveal and see if player 1 was being truthful. Player 3 can choose what he wants to put.    Player 1 and 2 gets paid 5x the final number.    Player 3 gets (2x reported number minus final number). If negative, gets nothing. If all three are the same, everyone gets the same amount.",7,"It was a bit confusing, but I think I got it.",0,1
15,VCTM2,l25k4pu9rum43riq,P2,4723678247,11,30,11,1,59,12,50.27.164.171,2018-08-07 23:29:47.623139+00:00,Passed,,,Observed,,,,,11,Female,Non hispanic,White,30,Professional post-secondary degree or doctoral degree,25,"$20,000 - $29,999","I guess if I had to describe the goal of this study, it would be to see how people make decisions when multiple people and money are involved.",1,I can't think of anything that I would improve.,0,1
16,VCTM2,aq7ssqairum43riq,P2,4821293167,30,30,30,1,55,12,107.11.190.222,2018-08-07 21:29:05.488743+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,White,50,Some college,35,"$40,000 - $49,999",The end goal is to get a bonus.,3,"No changes, I enjoyed it.",0,1
17,VCTM2,qibnif2krum43riq,P2,4909476567,9,9,1,1,46,12,99.26.148.250,2018-08-07 19:10:18.927162+00:00,Passed,,,Observed,,,,,1,Male,Hispanic,Asian,38,College diploma,5,"$50,000 - $59,999",The goal of the study was to see if people would try to maximize the amount of money they could earn.,3,It did not need improvement. I enjoyed my experience.,0,1
18,VCTM2,asw0i5hbrum43riq,P2,5141290704,9,9,30,1,45,12,24.225.125.42,2018-08-07 19:06:57.393128+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,40,College diploma,23,"$20,000 - $29,999",I think it's probably designed to see how people respond to information dissemination decisions when there are financial stakes involved.,2,I thought it made sense and functioned fine.  No problems for me.,0,1
19,VCTM2,5kqf1lpfrum43riq,P2,5504042639,10,10,10,1,52,12,97.118.124.196,2018-08-07 19:34:57.774378+00:00,Passed,,,Unobserved,10,,,,10,Female,Non hispanic,Black/African American,30,College diploma,6,"$30,000 - $39,999",a complicated game of telephone where the final message must match the first hidden message,3,"Make the instructions more clear, the first time around it was very hard to follow and understand.",0,1
20,VCTM2,m85w8m8arum43riq,P2,5778370290,6,6,30,1,31,12,199.34.4.20,2018-08-07 18:09:30.966092+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,40,Some college,18,"$60,000 - $69,999",The study is attempting to determine how honest a player may be given the ability to determine the outcome of a game.,1,The survey was well-designed and enjoyable.,0,1
21,VCTM2,zb3ghqgfrum43riq,P2,5957570020,25,25,25,1,19,12,174.32.160.133,2018-08-07 17:23:55.111077+00:00,Passed,,,Unobserved,10,,,,25,Female,Non hispanic,White,37,High school or equivalent,18,"< $10,000",I would describe it as a game of trust and Honesty.  Because I didn't even look at what the card actually was (although now I feel bad about that).  But I trusted the other players to be honest.,3,"Everything was great, thank you.",0,1
22,VCTM2,yjcozzomrum43riq,P2,6415603221,7,7,5,1,65,12,173.29.13.92,2018-08-08 00:51:11.215490+00:00,Passed,,,Observed,,,,,5,Male,Non hispanic,White,30,College diploma,16,"$30,000 - $39,999",I think the goal of this study is to understand how people decide on honesty and distributions to other parties.,2,I think maybe including a video explaining the study would be beneficial.,0,1
23,VCTM2,czwi1zcirum43riq,P2,6921526949,27,27,27,1,7,12,66.169.55.216,2018-08-07 16:20:44.507691+00:00,Passed,,,Observed,,,,,27,Female,Non hispanic,White,31,Masters degree,40,"$10,000 - $19,999",Not sure,5,"Instructions were way too long and complicated, as were the comp. checks.",0,1
24,VCTM2,lhu73g58rum43riq,P2,7004840792,9,30,30,1,57,12,174.218.143.42,2018-08-07 22:56:05.426081+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,Hispanic/Latino/Latina,36,College diploma,10,"$80,000 - $99,999",The goal of the study was to measure if the players would submit the true number that was drawn from the card pile.,2,There is nothing that needs to be improved with the survey. It was fun and easy to complete.,0,1
25,VCTM2,pffnft6irum43riq,P2,7492235454,8,30,30,1,61,12,99.100.238.66,2018-08-08 00:02:28.105116+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,White,53,College diploma,22,"$120,000 - $149,999",to make as much money on your end,2,nothing it was fine,0,1
26,VCTM2,8mk0ocb1rum43riq,P2,7618471717,8,30,30,1,60,12,69.243.16.146,2018-08-07 23:30:24.022297+00:00,Passed,,,Unobserved,30,,,,30,Female,Non hispanic,Hispanic/Latino/Latina,28,College diploma,46,"$50,000 - $59,999","There are 3 players. Player 1 will relay to player 2 a hidden number,in which player 2 will relay to player 3",2,n/a,0,1
27,VCTM2,ra0z180hrum43riq,P2,7925033563,8,8,8,1,38,12,68.104.24.101,2018-08-07 18:37:47.084134+00:00,Passed,,,Observed,,,,,8,Male,Non hispanic,Hispanic/Latino/Latina,43,Some college,28,"$20,000 - $29,999",help everyone?,4,more pictures?,0,1
28,VCTM2,wmgp7nqurum43riq,P2,8829656389,26,26,26,1,6,12,162.243.246.160,2018-08-07 16:17:51.167244+00:00,Passed,,,Observed,,,,,26,Female,Non hispanic,White,30,Masters degree,10,"$150,000 - $199,999","To be honest, i don't really got the idea, but i think it has something to do about people interest...",4,Nothing relevant to share,0,1
29,VCTM2,jgpflntbrum43riq,P2,9204913947,7,7,7,1,64,12,72.252.37.146,2018-08-08 00:22:18.304000+00:00,Passed,,,Observed,,,,,7,Male,Non hispanic,Hispanic/Latino/Latina,30,College diploma,10,"$20,000 - $29,999",To evaluate how person make decisions,2,It is ok. Probably add more drama,0,1
30,VCTM2,932tjgi7rum43riq,P2,9452887339,9,9,9,1,43,12,65.75.225.11,2018-08-07 19:00:54.550970+00:00,Passed,,,Observed,,,,,9,Male,Non hispanic,White,39,College diploma,35,"$80,000 - $99,999",To see if given the opportunity I would choose to earn more money at the expense of a stranger.,2,It was fine,0,1
31,VCTM2,tct4u5rzrum43riq,P2,9583715035,11,18,11,1,3,12,67.60.112.183,2018-08-07 15:50:02.123383+00:00,Passed,,,Observed,,,,,11,Female,Non hispanic,White,40,College diploma,43,"$100,000 - $119,999",determine how people weigh honesty over the desire to win or make more money,5,"The directions appeared to be more complicated than they needed to be. Also, it was never stipulated how the earnings were to be calculated if the hidden number and the final message were the same. It simply said they would all be paid the same; however, the correct answer was the equation for how P3's earnings are calculated.",0,1
32,VCTM2,ubglari3rum43riq,P2,9670298472,9,20,20,1,17,12,67.60.88.215,2018-08-07 17:21:25.274259+00:00,Passed,,,Observed,,,,,20,Female,Non hispanic,White,29,College diploma,13,"< $10,000",To see how people report earnings for bonuses,2,I think it was good the way it was,0,1
33,VCTM2,zkva7qqmzimjop89,P2,1163424283,21,21,21,1,3,12,104.5.181.8,2018-08-09 17:07:06.443460+00:00,Passed,,,Observed,,,,,21,Male,Non hispanic,White,58,Some college,15,"$20,000 - $29,999",Learning math and how certain rewards are distributed to players.,4,"Shorten the instruction, make them less complicated.",0,1
34,VCTM2,xr894ezxzimjop89,P2,1661641404,8,20,30,1,10,12,47.18.147.221,2018-08-09 17:27:14.372625+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,22,Masters degree,32,"$80,000 - $99,999",To determine if people would report the truthful number or try to maximize their earnings.,4,The instructions could have been a little easier to understand.,0,1
35,VCTM2,4mzwnngxzimjop89,P2,1875620736,12,12,12,1,29,12,71.112.168.37,2018-08-09 20:08:02.240821+00:00,Passed,,,Observed,,,,,12,Male,Non hispanic,White,39,Some college,38,"$40,000 - $49,999","To examine whether people are honest when not being honest is advantageous to them, but disadvantageous to a third party who will not know whether they are being honest or not.",4,I am unaware of any particular way that the survey experience could be improved.,0,1
36,VCTM2,pdjpj67xzimjop89,P2,3571142735,9,9,9,1,24,12,204.74.20.14,2018-08-09 19:35:45.891909+00:00,Passed,,,Observed,,,,,9,Female,Non hispanic,White,31,College diploma,38,"$60,000 - $69,999",Earn as much for all players,3,it was good as is,0,1
37,VCTM2,ub658z3tzimjop89,P2,3586570780,13,13,13,1,7,12,99.190.18.40,2018-08-09 17:22:29.677844+00:00,Passed,,,Observed,,,,,13,Female,Non hispanic,White,29,College diploma,43,"$30,000 - $39,999","To earn money sending/receiving a message based on a hidden number that was drawn by player 1. Player 1 reports it to player 2 who can make the number higher and make more money at the expense of player 3 making less money, or report honestly and have everybody make the same amount.",1,Couldn't be improved!,0,1
38,VCTM2,fhbfu3egzimjop89,P2,4368069289,7,7,30,1,30,12,107.137.187.23,2018-08-09 20:36:17.135376+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,Hispanic/Latino/Latina,36,Masters degree,35,"$40,000 - $49,999",To see what number a person will report.,2,Make the instructions shorter.,0,1
39,VCTM2,4udt8bf4zimjop89,P2,6093880680,9,9,9,1,23,12,45.51.69.36,2018-08-09 19:26:38.359875+00:00,Passed,,,Observed,,,,,9,Female,Non hispanic,White,48,Masters degree,5,"$20,000 - $29,999",Understanding math,5,I think it was well explained. My head was just fuzzy!,0,1
40,VCTM2,zylr5t35zimjop89,P2,6294273637,7,20,7,1,9,12,98.4.47.5,2018-08-09 17:25:50.660425+00:00,Passed,,,Observed,,,,,7,Male,Non hispanic,White,34,College diploma,32,"$50,000 - $59,999",determining the final number based on trust and greed,2,nothing,0,1
41,VCTM2,imy3dqllzimjop89,P2,7452977423,12,12,12,1,26,12,129.171.249.146,2018-08-09 19:44:35.193295+00:00,Passed,,,Observed,,,,,12,Female,Hispanic,White,36,Masters degree,10,"$50,000 - $59,999",To see if people would deliberately infringe on another person's chance at making the same as the other two participants,2,It was great,0,1
42,VCTM2,v10zjd2nzimjop89,P2,7596150213,10,10,10,1,18,12,67.235.105.161,2018-08-09 18:45:16.060003+00:00,Passed,,,Observed,,,,,10,Female,Non hispanic,White,27,College diploma,42,"$30,000 - $39,999",Trying to help yourself and others earn a good amount of money through a complicated task.,3,there's lots of instructions for such a short task,0,1
43,VCTM2,bnrrdzk6zimjop89,P2,8851947150,14,14,20,1,21,12,107.170.193.152,2018-08-09 19:04:10.955448+00:00,Passed,,,Observed,,,,,20,Male,Non hispanic,White,40,College diploma,23,"$80,000 - $99,999",To maximize my earnings,3,I don't know,0,1
44,VCTM2,95r3emcpzimjop89,P2,9173462475,11,28,11,1,5,12,67.171.209.170,2018-08-09 17:13:04.917853+00:00,Passed,,,Observed,,,,,11,Male,Non hispanic,Native Hawaiian/Pacific Islander,28,Masters degree,37,"< $10,000",To determine how honest/selfish people would be when they know that their actions will affect what others receive.,4,"The instructions were not clear. How the bonus was calculated was clear, and the money that each player would receive. What was not clear was how the messages worked and what effect they had on each other. I think a full example of the game would have been helpful. When I got to the game screen, it first said I was P3, then when I clicked on the button to show the hidden number, it said I was P2. I didn't realize you could change player positions. This was confusing.",0,1
45,VCTM2,x7ryhqnszimjop89,P2,9433135329,2,2,2,1,1,12,128.118.152.250,2018-08-09 16:00:37.514988+00:00,Passed,,,Observed,,,,,2,Female,Non hispanic,White,31,Masters degree,38,"$30,000 - $39,999",The goal is to observe how people interact when there is a chain of discussion and differing rewards,1,"None, it was all fine!",0,1
46,VCTM2,em97uopuzimjop89,P2,9493799419,9,9,9,1,25,12,206.74.96.253,2018-08-09 19:44:30.161922+00:00,Passed,,,Observed,,,,,9,Male,Non hispanic,White,63,Masters degree,33,"$50,000 - $59,999",To see how honest I am in reporting a number drawn randomly.,5,"The ""Task"" screen came up and said I was P3. According to the instructions, P3 is a passive player. Yet, the screen told me the message sent from P1 and presented the box to click to see the actual card drawn. It then prompted me to send the Final Message to P3...but it said previously I was P3. Rather confusing!",0,1
47,VCTM2,qgtyyyzqzimjop89,P2,9689053200,12,12,12,1,27,12,155.186.129.22,2018-08-09 19:56:04.685792+00:00,Passed,,,Observed,,,,,12,Female,Non hispanic,Hispanic/Latino/Latina,24,Some college,11,"$10,000 - $19,999",I think the goal might have been to see who would report the actually number versus who would report a higher number to yield a higher reward.,4,"The instructions were a little confusing, maybe clear them up or offer a practice game before the real one.",0,1
48,VCTM2,kq8bd11czimjop89,P2,9949078882,6,6,6,1,13,12,50.224.104.130,2018-08-09 17:37:57.698235+00:00,Passed,,,Observed,,,,,6,Male,Non hispanic,Hispanic/Latino/Latina,40,College diploma,47,"$40,000 - $49,999",Seemingly to see how people follow and interpret instructions.,3,less words,0,1
49,VCTM2,dly7kt5khuaxuoer,P2,2121995682,7,7,30,1,18,12,73.228.132.19,2018-08-11 17:38:53.566282+00:00,Passed,,,Unobserved,7,,,,30,Female,Non hispanic,White,54,College diploma,23,"$40,000 - $49,999",To see whether people are honest or self-interested,4,na,0,1
50,VCTM2,ate9q4u5huaxuoer,P2,2959807603,10,10,10,1,10,12,96.36.64.181,2018-08-11 14:07:15.338624+00:00,Passed,,,Observed,,,,,10,Female,Non hispanic,White,33,College diploma,40,"$60,000 - $69,999",I genuinely have no idea.  Those are some intense instructions for something so seemingly simple,2,Simplified instructions,0,1
51,VCTM2,pejffj42huaxuoer,P2,2995592613,25,25,25,1,13,12,162.236.185.58,2018-08-11 15:40:23.545718+00:00,Passed,,,Observed,,,,,25,Female,Non hispanic,Black/African American,31,College diploma,5,"$40,000 - $49,999","Have player 2 report the highest number to make the highest earnings (unless you're player 3, then hope that player 2 reports the correct hidden number)",6,The instructions are very long and confusing. Perhaps increase the reward for survey responders so they'll be more inclined to devote more time to understanding it.,0,1
52,VCTM2,m766mx7ghuaxuoer,P2,3372576530,11,11,11,1,29,12,184.91.225.123,2018-08-11 18:43:59.918673+00:00,Passed,,,Observed,,,,,11,Female,Non hispanic,White,62,High school or equivalent,10,"$10,000 - $19,999",The goal of this game is to get as much money nas you can. It depends on what player you are as to how you would play.,5,Make the instructions on how to play the game more simple.,0,1
53,VCTM2,u1ezfk77huaxuoer,P2,4207726966,7,7,7,1,16,12,69.174.149.37,2018-08-11 17:07:08.818881+00:00,Passed,,,Observed,,,,,7,Female,Non hispanic,White,27,Some college,14,"< $10,000",I would describe it as reading comprahension study.,1,It was fun and fast. Doesn't need any improving.,0,1
54,VCTM2,eeyiw3glhuaxuoer,P2,4989705749,8,8,12,1,23,12,66.128.161.89,2018-08-11 18:17:42.903642+00:00,Passed,,,Observed,,,,,12,Female,Non hispanic,White,39,College diploma,41,"$20,000 - $29,999",How to maximize profits between three players in a game of chance.,4,"The directions were a little confusing, but that could be a result of my inferior math abilities.",0,1
55,VCTM2,yk2yge3jhuaxuoer,P2,7040798630,11,11,11,1,24,12,73.169.221.246,2018-08-11 18:20:38.323295+00:00,Passed,,,Unobserved,10,,,,11,Male,Non hispanic,White,32,High school or equivalent,47,"$30,000 - $39,999",I think the goal is to determine whether someone would like for a higher financial gain.,3,Not sure,0,1
56,VCTM2,s5z31xauhuaxuoer,P2,7271878225,11,11,30,1,33,12,73.189.185.116,2018-08-11 19:05:48.222033+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,Black/African American,23,College diploma,5,"$50,000 - $59,999",It is a task on reporting earning and testing how selfish someone might be.,2,It was good.,0,1
57,VCTM2,j8eeiihxhuaxuoer,P2,7878492185,7,7,7,1,15,12,73.152.176.106,2018-08-11 16:11:39.554982+00:00,Passed,,,Observed,,,,,7,Female,Non hispanic,White,37,High school or equivalent,46,"$20,000 - $29,999",Do people read directions carefully?,4,The instructions were complicated,0,1
58,VCTM2,9jixy45yhuaxuoer,P2,9476534030,11,11,11,1,32,12,71.76.232.146,2018-08-11 18:54:11.607499+00:00,Passed,,,Observed,,,,,11,Male,Non hispanic,White,27,College diploma,33,"$70,000 - $79,999",A fun and interesting task that used a team of people to theorize on probability in a way.,1,"Nothing, really.",0,1
59,VCTM2,t9yqdggehuaxuoer,P2,9502517222,11,11,11,1,30,12,75.161.233.187,2018-08-11 18:47:03.541097+00:00,Passed,,,Observed,,,,,11,Male,Hispanic,White,34,Some college,31,"$30,000 - $39,999","Like a game of telephone, where you are trying to maximize payout/score.",2,"The instructions were very complicated, but you did a good job explaining them.",0,1
60,VCTM2,q2dojcc7huaxuoer,P2,9731029279,10,10,10,1,9,12,174.110.175.99,2018-08-11 14:04:01.502419+00:00,Passed,,,Observed,,,,,10,Female,Non hispanic,White,43,Masters degree,40,"$50,000 - $59,999","To see if someone were truthfully report information, or look out for him or herself and report wrong information in order to gain a bigger bonus.",2,The instructions were too long and wordy.,0,1
61,VCTM2,psnv7ndi7os6vayw,P2,1102954606,9,16,9,1,5,12,76.77.245.27,2018-08-12 15:34:51.706610+00:00,Passed,,,Observed,,,,,9,Female,Non hispanic,White,38,Some college,43,"$50,000 - $59,999","It was an interactive game with three players. The objective was to get player three to report the hidden number drawn by player 1. Player two could pass on the number player one reported, or see which number player one had actually drawn, and send that final report to player three.",4,I hope I did this correctly. Good luck with your research.,0,1
62,VCTM2,w0o140ts7os6vayw,P2,1549102309,9,30,30,1,8,12,24.189.54.74,2018-08-12 15:41:58.554297+00:00,Passed,,,Observed,,,,,30,Female,Non hispanic,White,62,College diploma,32,"$70,000 - $79,999",try to win as much of a bonus as you possibly can.,3,make instructions a bit easier to understand.,0,1
63,VCTM2,jua1kzyo7os6vayw,P2,2546683242,13,13,13,1,4,12,98.214.36.41,2018-08-12 15:34:22.594984+00:00,Passed,,,Observed,,,,,13,Male,Non hispanic,White,39,High school or equivalent,14,"$50,000 - $59,999",A little challenging but not to difficult.,3,Make the instructions on player 3's payout a little less like a math equation.,0,1
64,VCTM2,3rmr34dq7os6vayw,P2,4878771562,14,14,14,1,11,12,166.175.185.68,2018-08-12 16:27:15.095359+00:00,Passed,,,Observed,,,,,14,Female,Non hispanic,White,34,College diploma,17,"$70,000 - $79,999",The goal of this study is to see if the first 2 players will report a higher number to get a higher payout for themselves and exclude concern for player number 3.,1,It was great! Thank you,0,1
65,VCTM2,jjbiywfs7os6vayw,P2,5803413177,25,25,25,1,7,12,96.32.1.133,2018-08-12 15:38:50.507473+00:00,Passed,,,Observed,,,,,25,Female,Non hispanic,White,25,College diploma,7,"$20,000 - $29,999",To see how accurately people can report what they're told,3,It was somewhat difficult to understand,0,1
66,VCTM2,m7xgrmre7os6vayw,P2,6848695283,6,6,6,1,10,12,47.205.80.102,2018-08-12 15:57:41.476383+00:00,Passed,,,Observed,,,,,6,Male,Non hispanic,White,38,College diploma,10,"$10,000 - $19,999",To see if people will relay honest messages or manipulate the messages to their benefit. To see if people will tell the truth or lie for personal gain.,2,I had no issues with this survey experience.,0,1
67,VCTM2,8tssbt2v7os6vayw,P2,8002770216,14,14,30,1,12,12,162.211.160.162,2018-08-12 16:58:32.163129+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,20,Some college,9,"$50,000 - $59,999",I'm not sure the goal. To me it was to get the largest  bonus possible.,3,"Less confusing instructions, it just took a long time to read.",0,1
68,VCTM2,qlju21c67os6vayw,P2,9229543956,9,9,9,1,2,12,107.185.165.139,2018-08-12 15:31:33.404910+00:00,Passed,,,Observed,,,,,9,Male,Non hispanic,Black/African American,45,College diploma,5,"$120,000 - $149,999","Determine the honesty of P2, because it determines how much everyone gets.",2,Everything was clear.,0,1
69,VCTM2,y93rq26g7os6vayw,P2,9886438161,6,6,10,1,9,12,24.23.245.112,2018-08-12 15:43:19.560229+00:00,Passed,,,Observed,,,,,10,Male,Non hispanic,Native Hawaiian/Pacific Islander,23,Some college,5,"$10,000 - $19,999","The goal was to report a hidden number through a series of people, but since there were skewed rewards for each player based on the number rewarded, there was incentive to lie.",3,The instructions were a bit confusing in the layout/wording,0,1
70,VCTM2,vkc2db9g5xwf3q86,P2,2557874328,11,11,11,1,11,12,173.175.170.0,2018-08-15 16:58:27.848480+00:00,Passed,,,Observed,,,,,11,Female,Hispanic,White,29,College diploma,43,"$10,000 - $19,999",I would say this study asks about the willingness to put personal gain over letting someone else share in a reward.,3,The instructions while clear were rather long to read.,0,1
71,VCTM2,zfxpy38n5xwf3q86,P2,4213470115,8,8,8,1,20,12,24.163.13.47,2018-08-15 18:39:28.941803+00:00,Passed,,,Observed,,,,,8,Female,Non hispanic,White,32,College diploma,33,"< $10,000",Trying to get the final answer reported that player one drew from the cards.,4,Made the math simpler.  It was hard for me to calculate what was going on.,0,1
72,VCTM2,b8sgausz5xwf3q86,P2,5492786804,11,11,11,1,9,12,71.93.185.201,2018-08-15 16:46:10.715864+00:00,Passed,,,Observed,,,,,11,Male,Hispanic,Native Hawaiian/Pacific Islander,23,College diploma,5,"$20,000 - $29,999",A test to see if 2 people would seek higher payment at the expense of a third person.,3,n/a,0,1
73,VCTM2,nqxh2i6o5xwf3q86,P2,6015727752,7,7,7,1,1,12,63.155.107.198,2018-08-15 15:31:12.873563+00:00,Passed,,,Observed,,,,,7,Male,Non hispanic,White,50,Some college,37,"$20,000 - $29,999",Take time to read the instructions,2,make the bubbles a little bigger so they are easier to toggle in the first section.,0,1
74,VCTM2,jbyasf5r5xwf3q86,P2,6586489182,11,11,11,1,17,12,75.189.23.255,2018-08-15 18:13:47.563689+00:00,Passed,,,Observed,,,,,11,Male,Non hispanic,White,53,Some college,40,"$80,000 - $99,999",I'm not sure I'm sorry,2,it was simple and easy to understand,0,1
75,VCTM2,emaox3p95xwf3q86,P2,8584578950,8,8,8,1,5,12,104.4.182.14,2018-08-15 16:29:07.567660+00:00,Passed,,,Observed,,,,,8,Male,Hispanic,White,41,Some college,10,"< $10,000",convoluted nonsense,4,stop making surveys with complicated instructions that you are tested on,0,1
76,VCTM2,gge14yea5xwf3q86,P2,8969867207,12,12,12,1,2,12,74.110.207.57,2018-08-15 16:01:57.792156+00:00,Passed,,,Observed,,,,,12,Male,Non hispanic,White,34,College diploma,46,"< $10,000",People will try to make things equal for three participants rather than maximizing bonuses for two participants and minimizing the bonus of a third.,4,"When I first got to the page saying what player I was, it said I was P3, but when I clicked on the button to see the hidden number, it said I was P2. Fixing that would help.",0,1
77,VCTM2,855wjhxj5xwf3q86,P2,3862409078,11,11,11,1,14,12,166.177.56.53,2018-08-15 17:09:58.114421+00:00,Passed,,,Observed,,,,,11,Female,Non hispanic,Asian,39,Some college,22,"< $10,000",HONESTY,2,N/A,0,1
