id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,ranking
49,VCTM3,p2session2data,P2,9886766084,6,12,12,12,1,7
50,VCTM3,p2session2data,P2,6612993841,10,10,10,10,1,9
51,VCTM3,p2session2data,P2,8336963149,22,22,10,10,1,9
52,VCTM3,p2session2data,P2,4255403512,10,10,10,10,1,9
53,VCTM3,p2session2data,P2,4080722630,10,10,10,10,2,9
54,VCTM3,p2session2data,P2,5940284493,10,10,10,10,2,9
55,VCTM3,p2session2data,P2,2229247677,10,10,10,10,2,9
56,VCTM3,p2session2data,P2,1487595661,10,10,10,10,1,9
57,VCTM3,p2session2data,P2,7380741490,10,10,10,10,1,9
58,VCTM3,p2session2data,P2,2092122399,10,10,10,10,2,9
59,VCTM3,p2session2data,P2,6242701602,11,11,11,11,2,11
60,VCTM3,p2session2data,P2,2217625495,11,11,11,11,1,11
61,VCTM3,p2session2data,P2,7935492887,11,11,11,11,2,11
62,VCTM3,p2session2data,P2,4904293288,11,11,11,11,2,11
63,VCTM3,p2session2data,P2,8859607509,11,11,11,11,1,11
64,VCTM3,p2session2data,P2,7569427615,11,11,11,11,1,11
65,VCTM3,p2session2data,P2,5434840864,11,11,11,11,2,11
66,VCTM3,p2session2data,P2,6543820761,11,11,11,11,1,11
67,VCTM3,p2session2data,P2,5417633475,11,11,11,11,2,11
68,VCTM3,p2session2data,P2,4859756759,11,11,11,11,2,11
69,VCTM3,p2session2data,P2,6616784729,11,11,11,11,1,11
70,VCTM3,p2session2data,P2,1446436501,8,30,30,30,2,14
71,VCTM3,p2session2data,P2,1531254326,13,18,30,30,1,14
72,VCTM3,p2session2data,P2,9176687830,6,30,30,30,1,14
73,VCTM3,p2session2data,P2,8978432014,8,30,30,30,1,14
74,VCTM3,p2session2data,P2,7760096477,11,11,30,30,1,14
75,VCTM3,p2session2data,P2,6314150420,8,8,30,30,1,14
76,VCTM3,p2session2data,P2,7480901680,8,30,30,30,1,14
77,VCTM3,p2session2data,P2,6347034517,11,11,30,30,2,14
78,VCTM3,p2session2data,P2,5682660772,7,7,30,30,1,14
79,VCTM3,p2session2data,P2,2796030302,10,10,30,30,2,14
80,VCTM3,p2session2data,P2,1474789854,11,30,30,30,1,14
81,VCTM3,p2session2data,P2,4645441142,11,30,30,30,2,14
82,VCTM3,p2session2data,P2,5053447158,7,30,30,30,2,14
83,VCTM3,p2session2data,P2,4329716890,8,30,30,30,2,14
